      Step     Time          Energy          fmax
BFGS:    0 11:45:05     -110.614393        0.312087
BFGS:    1 11:45:05     -110.620645        0.303613
BFGS:    2 11:45:05     -110.686004        0.142365
BFGS:    3 11:45:06     -110.688144        0.130089
BFGS:    4 11:45:06     -110.708664        0.093871
BFGS:    5 11:45:06     -110.709875        0.117888
BFGS:    6 11:45:07     -110.714651        0.176693
BFGS:    7 11:45:07     -110.722338        0.217301
BFGS:    8 11:45:07     -110.735068        0.205896
BFGS:    9 11:45:07     -110.743729        0.118667
BFGS:   10 11:45:08     -110.746627        0.060527
BFGS:   11 11:45:08     -110.747434        0.054929
BFGS:   12 11:45:08     -110.747950        0.045379
BFGS:   13 11:45:09     -110.748739        0.025987
BFGS:   14 11:45:09     -110.749387        0.022127
BFGS:   15 11:45:09     -110.749690        0.018992
