      Step     Time          Energy          fmax
BFGS:    0 23:09:22     -125.057197        0.725870
BFGS:    1 23:09:23     -125.080482        0.683189
BFGS:    2 23:09:23     -125.245736        0.146928
BFGS:    3 23:09:23     -125.247437        0.135193
BFGS:    4 23:09:24     -125.260716        0.084066
BFGS:    5 23:09:24     -125.266744        0.077257
BFGS:    6 23:09:24     -125.269939        0.129348
BFGS:    7 23:09:25     -125.272524        0.164741
BFGS:    8 23:09:25     -125.278296        0.208990
BFGS:    9 23:09:25     -125.288292        0.235717
BFGS:   10 23:09:26     -125.301200        0.200661
BFGS:   11 23:09:26     -125.309282        0.131296
BFGS:   12 23:09:26     -125.312178        0.112300
BFGS:   13 23:09:27     -125.313274        0.107887
BFGS:   14 23:09:27     -125.314544        0.093101
BFGS:   15 23:09:28     -125.316092        0.058765
BFGS:   16 23:09:28     -125.316952        0.023226
BFGS:   17 23:09:28     -125.317149        0.013853
