      Step     Time          Energy          fmax
BFGS:    0 23:09:17     -125.167809        0.371432
BFGS:    1 23:09:17     -125.176098        0.357113
BFGS:    2 23:09:18     -125.248886        0.097095
BFGS:    3 23:09:18     -125.250500        0.097015
BFGS:    4 23:09:19     -125.264269        0.090703
BFGS:    5 23:09:19     -125.269844        0.089612
BFGS:    6 23:09:19     -125.273024        0.162061
BFGS:    7 23:09:20     -125.276318        0.206815
BFGS:    8 23:09:20     -125.285020        0.263764
BFGS:    9 23:09:21     -125.298002        0.266002
BFGS:   10 23:09:21     -125.310383        0.168385
BFGS:   11 23:09:21     -125.316015        0.055120
BFGS:   12 23:09:21     -125.317017        0.021956
BFGS:   13 23:09:22     -125.317101        0.019615
