      Step     Time          Energy          fmax
BFGS:    0 23:09:33     -123.332391        7.960975
BFGS:    1 23:09:36     -124.426352        3.363202
BFGS:    2 23:09:38     -124.796723        1.510252
BFGS:    3 23:09:41     -124.926509        0.752649
BFGS:    4 23:09:43     -124.970931        0.747979
BFGS:    5 23:09:46     -124.993060        0.805092
BFGS:    6 23:09:48     -125.016328        0.742570
BFGS:    7 23:09:51     -125.048561        0.563427
BFGS:    8 23:09:53     -125.084522        0.312764
BFGS:    9 23:09:55     -125.101720        0.208757
BFGS:   10 23:09:58     -125.102853        0.191692
BFGS:   11 23:10:00     -125.104492        0.210452
BFGS:   12 23:10:03     -125.109757        0.166625
BFGS:   13 23:10:05     -125.115056        0.107126
BFGS:   14 23:10:08     -125.118354        0.097540
BFGS:   15 23:10:10     -125.119010        0.095804
BFGS:   16 23:10:13     -125.119524        0.135254
BFGS:   17 23:10:16     -125.121275        0.170503
BFGS:   18 23:10:18     -125.126081        0.191442
BFGS:   19 23:10:21     -125.134669        0.168617
BFGS:   20 23:10:24     -125.142092        0.142055
BFGS:   21 23:10:27     -125.144069        0.107274
BFGS:   22 23:10:29     -125.143924        0.116965
BFGS:   23 23:10:31     -125.144467        0.132776
BFGS:   24 23:10:34     -125.146549        0.153074
BFGS:   25 23:10:36     -125.148828        0.131579
BFGS:   26 23:10:38     -125.148970        0.088968
BFGS:   27 23:10:41     -125.149236        0.108758
BFGS:   28 23:10:43     -125.150434        0.111546
BFGS:   29 23:10:46     -125.153023        0.107633
BFGS:   30 23:10:48     -125.156906        0.117223
BFGS:   31 23:10:50     -125.159698        0.162380
BFGS:   32 23:10:53     -125.160246        0.163696
BFGS:   33 23:10:55     -125.160660        0.134503
BFGS:   34 23:10:58     -125.161751        0.106977
BFGS:   35 23:11:00     -125.164309        0.104159
BFGS:   36 23:11:03     -125.167052        0.130014
BFGS:   37 23:11:05     -125.166539        0.124347
BFGS:   38 23:11:07     -125.164141        0.120116
BFGS:   39 23:11:09     -125.162948        0.140192
BFGS:   40 23:11:13     -125.162871        0.149689
BFGS:   41 23:11:15     -125.164492        0.143571
BFGS:   42 23:11:17     -125.167921        0.130707
BFGS:   43 23:11:20     -125.170158        0.115297
BFGS:   44 23:11:22     -125.170070        0.109417
BFGS:   45 23:11:24     -125.170120        0.114771
BFGS:   46 23:11:27     -125.171008        0.120548
BFGS:   47 23:11:29     -125.172780        0.105897
BFGS:   48 23:11:32     -125.173428        0.089581
BFGS:   49 23:11:34     -125.171638        0.077449
BFGS:   50 23:11:38     -125.170994        0.100797
BFGS:   51 23:11:41     -125.171497        0.103291
BFGS:   52 23:11:45     -125.172972        0.118595
BFGS:   53 23:11:48     -125.175356        0.124317
BFGS:   54 23:11:56     -125.177021        0.114249
BFGS:   55 23:11:59     -125.177161        0.096744
BFGS:   56 23:12:04     -125.177188        0.073114
BFGS:   57 23:12:08     -125.177535        0.078873
BFGS:   58 23:12:14     -125.178314        0.074276
BFGS:   59 23:12:17     -125.178861        0.074391
BFGS:   60 23:12:19     -125.178500        0.063940
BFGS:   61 23:12:22     -125.178158        0.044207
