      Step     Time          Energy          fmax
BFGS:    0 01:16:15     -113.770129        0.061360
BFGS:    1 01:17:54     -113.770908        0.062681
BFGS:    2 01:24:17     -113.492574        0.949440
BFGS:    3 01:30:09     -113.789003        0.070465
BFGS:    4 01:32:44     -113.789456        0.113128
BFGS:    5 01:34:55     -113.790437        0.107504
BFGS:    6 01:38:56     -113.797560        0.118432
BFGS:    7 01:42:28     -113.801980        0.098445
BFGS:    8 01:46:30     -113.807223        0.100726
BFGS:    9 01:50:01     -113.808895        0.090890
BFGS:   10 01:53:32     -113.811122        0.064626
BFGS:   11 01:57:04     -113.812933        0.046868
BFGS:   12 02:00:37     -113.815067        0.041048
BFGS:   13 02:04:07     -113.817020        0.025051
