      Step     Time          Energy          fmax
BFGS:    0 02:24:52     -113.676251        0.139570
BFGS:    1 02:28:43     -113.677560        0.141797
BFGS:    2 02:42:10     -113.555443        0.921840
BFGS:    3 02:53:06     -113.697248        0.095092
BFGS:    4 02:57:49     -113.698609        0.079803
BFGS:    5 03:07:46     -113.681920        0.369316
BFGS:    6 03:16:51     -113.701923        0.101689
BFGS:    7 03:20:41     -113.703677        0.108479
BFGS:    8 03:30:44     -113.667253        0.454037
BFGS:    9 03:40:47     -113.710633        0.083618
BFGS:   10 03:44:45     -113.711550        0.108053
BFGS:   11 03:54:52     -113.706855        0.194432
BFGS:   12 04:02:13     -113.713710        0.091397
BFGS:   13 04:06:03     -113.714080        0.085001
BFGS:   14 04:12:36     -113.716374        0.080923
BFGS:   15 04:19:08     -113.719157        0.066903
BFGS:   16 04:26:27     -113.722404        0.094266
BFGS:   17 04:30:18     -113.723388        0.078889
BFGS:   18 04:40:19     -113.627488        0.223670
BFGS:   19 04:50:25     -113.725002        0.051349
BFGS:   20 04:54:16     -113.725305        0.060233
BFGS:   21 05:04:15     -113.620843        0.386401
BFGS:   22 05:14:14     -113.728502        0.066506
BFGS:   23 05:18:03     -113.728843        0.078393
BFGS:   24 05:25:23     -113.728852        0.056345
BFGS:   25 05:31:50     -113.729507        0.047996
BFGS:   26 05:35:41     -113.729761        0.045707
BFGS:   27 05:48:28     -113.122161        1.343514
BFGS:   28 06:02:10     -113.717761        0.152800
BFGS:   29 06:09:29     -113.728765        0.112291
BFGS:   30 06:16:02     -113.731433        0.116838
BFGS:   31 06:23:21     -113.733879        0.097924
BFGS:   32 06:29:50     -113.735276        0.068172
BFGS:   33 06:36:21     -113.736490        0.075302
BFGS:   34 06:41:12     -113.737153        0.078386
BFGS:   35 06:54:14     -113.576062        1.338368
BFGS:   36 07:07:01     -113.738961        0.065390
BFGS:   37 07:10:51     -113.739434        0.065357
BFGS:   38 07:18:16     -113.741541        0.092625
BFGS:   39 07:24:43     -113.742418        0.054391
BFGS:   40 07:28:31     -113.742871        0.059584
BFGS:   41 07:41:19     -113.528009        0.700897
BFGS:   42 07:54:49     -113.744636        0.055200
BFGS:   43 07:58:38     -113.744879        0.063459
BFGS:   44 08:05:57     -113.743625        0.134143
BFGS:   45 08:13:21     -113.745696        0.069207
BFGS:   46 08:17:10     -113.746324        0.067910
BFGS:   47 08:27:07     -113.604287        0.897447
BFGS:   48 08:38:01     -113.748775        0.054519
BFGS:   49 08:44:31     -113.749398        0.057289
BFGS:   50 08:48:28     -113.749904        0.061294
BFGS:   51 08:58:27     -113.664413        0.576317
BFGS:   52 09:08:28     -113.751302        0.094881
BFGS:   53 09:14:59     -113.751944        0.110042
BFGS:   54 09:18:52     -113.752606        0.106664
BFGS:   55 09:27:06     -113.751297        0.203761
BFGS:   56 09:35:07     -113.755659        0.061161
BFGS:   57 09:40:08     -113.755917        0.058943
BFGS:   58 09:47:36     -113.756411        0.084117
BFGS:   59 09:51:23     -113.757121        0.069788
BFGS:   60 09:57:47     -113.757792        0.060661
