      Step     Time          Energy          fmax
BFGS:    0 01:23:57     -138.084131        0.715769
BFGS:    1 01:23:57     -138.110444        0.661182
BFGS:    2 01:23:57     -138.260723        0.172644
BFGS:    3 01:23:58     -138.262766        0.148705
BFGS:    4 01:23:58     -138.277330        0.098907
BFGS:    5 01:23:59     -138.286875        0.118420
BFGS:    6 01:23:59     -138.292099        0.201501
BFGS:    7 01:23:59     -138.295340        0.243331
BFGS:    8 01:23:59     -138.300578        0.256743
BFGS:    9 01:24:00     -138.308168        0.216931
BFGS:   10 01:24:00     -138.316366        0.147007
BFGS:   11 01:24:01     -138.320620        0.083856
BFGS:   12 01:24:01     -138.321697        0.058731
BFGS:   13 01:24:01     -138.322056        0.053254
BFGS:   14 01:24:02     -138.322554        0.043426
BFGS:   15 01:24:02     -138.323035        0.026864
BFGS:   16 01:24:03     -138.323293        0.021224
BFGS:   17 01:24:03     -138.323379        0.016994
