      Step     Time          Energy          fmax
BFGS:    0 04:57:58     -133.683222       11.119175
BFGS:    1 05:45:42     -135.489466        3.350626
BFGS:    2 06:30:00     -135.790526        1.831669
BFGS:    3 07:12:05     -135.978992        0.829180
BFGS:    4 07:50:24     -136.056804        1.071011
BFGS:    5 08:28:01     -136.110422        1.130355
BFGS:    6 09:02:31     -136.158822        1.043003
BFGS:    7 09:37:51     -136.222212        0.834525
BFGS:    8 10:18:22     -136.304685        0.398958
BFGS:    9 10:55:41     -136.324577        0.248235
BFGS:   10 11:24:19     -136.325172        0.156304
BFGS:   11 11:41:31     -136.327811        0.152517
BFGS:   12 12:22:41     -136.274575        0.505554
BFGS:   13 13:02:24     -136.348513        0.131973
BFGS:   14 13:28:33     -136.352963        0.125582
BFGS:   15 14:02:25     -136.363235        0.131580
BFGS:   16 14:40:33     -136.378923        0.189571
