      Step     Time          Energy          fmax
BFGS:    0 01:23:52     -138.185045        0.310300
BFGS:    1 01:23:52     -138.196103        0.296017
BFGS:    2 01:23:53     -138.267704        0.114478
BFGS:    3 01:23:53     -138.269604        0.112923
BFGS:    4 01:23:54     -138.295514        0.193996
BFGS:    5 01:23:54     -138.297188        0.175421
BFGS:    6 01:23:55     -138.316093        0.041039
BFGS:    7 01:23:55     -138.321735        0.027366
BFGS:    8 01:23:55     -138.323148        0.026271
BFGS:    9 01:23:56     -138.323343        0.021152
BFGS:   10 01:23:56     -138.323459        0.019541
