      Step     Time          Energy          fmax
BFGS:    0 01:24:16     -135.868413       10.372207
BFGS:    1 01:24:19     -137.533755        3.244173
BFGS:    2 01:24:23     -137.801869        1.620985
BFGS:    3 01:24:29     -137.940054        0.742626
BFGS:    4 01:24:32     -137.996092        0.822331
BFGS:    5 01:24:35     -138.030074        0.840937
BFGS:    6 01:24:38     -138.059083        0.736155
BFGS:    7 01:24:41     -138.096284        0.505626
BFGS:    8 01:24:44     -138.127717        0.234160
BFGS:    9 01:24:47     -138.136543        0.172619
BFGS:   10 01:24:49     -138.137370        0.165981
BFGS:   11 01:24:52     -138.138999        0.171537
BFGS:   12 01:24:54     -138.142545        0.125137
BFGS:   13 01:24:57     -138.147114        0.109848
BFGS:   14 01:24:59     -138.150072        0.108020
BFGS:   15 01:25:03     -138.151148        0.124091
BFGS:   16 01:25:06     -138.152274        0.162306
BFGS:   17 01:25:09     -138.155247        0.188997
BFGS:   18 01:25:12     -138.161542        0.183832
BFGS:   19 01:25:15     -138.169215        0.157743
BFGS:   20 01:25:18     -138.173109        0.139846
BFGS:   21 01:25:21     -138.173748        0.141066
BFGS:   22 01:25:24     -138.174197        0.118842
BFGS:   23 01:25:27     -138.175796        0.119445
BFGS:   24 01:25:30     -138.178839        0.114586
BFGS:   25 01:25:33     -138.180741        0.113623
BFGS:   26 01:25:35     -138.180855        0.088975
BFGS:   27 01:25:38     -138.181413        0.094217
BFGS:   28 01:25:41     -138.183233        0.103172
BFGS:   29 01:25:44     -138.186995        0.109154
BFGS:   30 01:25:49     -138.191522        0.167834
BFGS:   31 01:25:51     -138.193659        0.183882
BFGS:   32 01:25:54     -138.193941        0.151789
BFGS:   33 01:25:57     -138.194550        0.126691
BFGS:   34 01:25:59     -138.196406        0.089369
BFGS:   35 01:26:02     -138.199136        0.127613
BFGS:   36 01:26:06     -138.199253        0.142623
BFGS:   37 01:26:08     -138.197141        0.127635
BFGS:   38 01:26:11     -138.196009        0.135781
BFGS:   39 01:26:13     -138.195924        0.139639
BFGS:   40 01:26:16     -138.197365        0.124371
BFGS:   41 01:26:19     -138.200034        0.128828
BFGS:   42 01:26:21     -138.201632        0.135962
BFGS:   43 01:26:24     -138.202082        0.122388
BFGS:   44 01:26:26     -138.202750        0.104898
BFGS:   45 01:26:29     -138.204027        0.115072
BFGS:   46 01:26:31     -138.205757        0.140498
BFGS:   47 01:26:34     -138.206108        0.147431
BFGS:   48 01:26:36     -138.205565        0.110762
BFGS:   49 01:26:39     -138.206389        0.101056
BFGS:   50 01:26:42     -138.207658        0.103895
BFGS:   51 01:26:44     -138.209407        0.117734
BFGS:   52 01:26:47     -138.210519        0.118214
BFGS:   53 01:26:51     -138.209948        0.111311
BFGS:   54 01:26:55     -138.209501        0.084098
BFGS:   55 01:26:57     -138.210008        0.066722
BFGS:   56 01:27:00     -138.211039        0.081352
BFGS:   57 01:27:04     -138.212178        0.086573
BFGS:   58 01:27:08     -138.212335        0.078208
BFGS:   59 01:27:11     -138.211949        0.050824
BFGS:   60 01:27:14     -138.211984        0.052555
BFGS:   61 01:27:18     -138.212268        0.056136
BFGS:   62 01:27:20     -138.212774        0.066302
BFGS:   63 01:27:22     -138.213151        0.069235
BFGS:   64 01:27:25     -138.213423        0.066794
BFGS:   65 01:27:27     -138.213995        0.059355
BFGS:   66 01:27:29     -138.214681        0.072386
BFGS:   67 01:27:31     -138.215392        0.087695
BFGS:   68 01:27:34     -138.215835        0.086187
BFGS:   69 01:27:36     -138.215729        0.055929
BFGS:   70 01:27:39     -138.215818        0.046539
