      Step     Time          Energy          fmax
BFGS:    0 12:24:59     -110.635692        0.370320
BFGS:    1 12:25:00     -110.644184        0.356445
BFGS:    2 12:25:00     -110.737204        0.152825
BFGS:    3 12:25:00     -110.739740        0.130836
BFGS:    4 12:25:01     -110.755538        0.095278
BFGS:    5 12:25:01     -110.768488        0.090835
BFGS:    6 12:25:01     -110.776493        0.177157
BFGS:    7 12:25:01     -110.780442        0.229108
BFGS:    8 12:25:02     -110.787089        0.271391
BFGS:    9 12:25:02     -110.798484        0.280901
BFGS:   10 12:25:02     -110.815102        0.238041
BFGS:   11 12:25:03     -110.827475        0.136302
BFGS:   12 12:25:03     -110.832136        0.055537
BFGS:   13 12:25:03     -110.833089        0.056300
BFGS:   14 12:25:04     -110.833498        0.054338
BFGS:   15 12:25:04     -110.834378        0.043107
BFGS:   16 12:25:04     -110.835339        0.024371
BFGS:   17 12:25:05     -110.836016        0.025144
BFGS:   18 12:25:05     -110.836291        0.025951
BFGS:   19 12:25:05     -110.836502        0.024766
BFGS:   20 12:25:05     -110.836912        0.030561
BFGS:   21 12:25:06     -110.837714        0.040400
BFGS:   22 12:25:06     -110.838921        0.050746
BFGS:   23 12:25:06     -110.839985        0.053216
BFGS:   24 12:25:07     -110.840486        0.048123
BFGS:   25 12:25:07     -110.840711        0.042017
BFGS:   26 12:25:07     -110.840975        0.033359
BFGS:   27 12:25:08     -110.841374        0.028135
BFGS:   28 12:25:08     -110.841733        0.018917
