      Step     Time          Energy          fmax
BFGS:    0 13:26:40     -110.788441        0.221709
BFGS:    1 13:26:41     -110.792270        0.215896
BFGS:    2 13:26:41     -110.825877        0.093992
BFGS:    3 13:26:41     -110.826444        0.089309
BFGS:    4 13:26:42     -110.831909        0.036974
BFGS:    5 13:26:42     -110.832060        0.036664
BFGS:    6 13:26:42     -110.834603        0.029725
BFGS:    7 13:26:43     -110.836831        0.029318
BFGS:    8 13:26:43     -110.838690        0.044488
BFGS:    9 13:26:43     -110.839403        0.044582
BFGS:   10 13:26:44     -110.839804        0.038221
BFGS:   11 13:26:44     -110.840329        0.035468
BFGS:   12 13:26:44     -110.840928        0.031239
BFGS:   13 13:26:44     -110.841245        0.013729
