      Step     Time          Energy          fmax
BFGS:    0 22:52:23      -55.031301      298.685105
BFGS:    1 22:52:24   -73912.427528  1700129.857445
BFGS:    2 22:52:24 -7054617.050039 22601020.556107
BFGS:    3 22:52:25 -6923615.423970 15475806.494948
BFGS:    4 22:52:25  -296331.549064  5119444.279278
BFGS:    5 22:52:25  -320522.396566  5441237.658877
BFGS:    6 22:52:26  -340711.878727  5693359.912179
BFGS:    7 22:52:26  -362861.254640  5962607.876372
BFGS:    8 22:52:26  -381325.235605  6172568.979277
BFGS:    9 22:52:26  -404943.631752  6443989.941663
BFGS:   10 22:52:27  -422119.006717  6649680.700803
BFGS:   11 22:52:27  -434672.731191  6798990.808749
BFGS:   12 22:52:27  -447236.116577  6947092.314019
BFGS:   13 22:52:28  -459659.908154  7098257.116265
BFGS:   14 22:52:28  -472038.978329  7248351.901181
BFGS:   15 22:52:28  -484071.063621  7397398.193774
BFGS:   16 22:52:28  -495742.687509  7542702.862091
BFGS:   17 22:52:29  -507401.079813  7687644.431603
BFGS:   18 22:52:29  -521549.236116  7859533.907858
BFGS:   19 22:52:29  -535066.306045  8026183.753114
BFGS:   20 22:52:30  -548834.536794  8192042.433314
BFGS:   21 22:52:30  -564006.718982  8376017.996686
BFGS:   22 22:52:30  -578623.158888  8554485.283568
BFGS:   23 22:52:31  -586916.462755  8653889.565469
BFGS:   24 22:52:31  -599353.219319  8800413.496578
BFGS:   25 22:52:31  -609491.519477  8918993.633796
BFGS:   26 22:52:31  -619714.868122  9038628.173661
BFGS:   27 22:52:32  -629778.695382  9156748.872828
BFGS:   28 22:52:32  -639182.613487  9264165.574937
BFGS:   29 22:52:32  -649672.335718  9382393.081063
BFGS:   30 22:52:33  -660969.356803  9511802.319913
BFGS:   31 22:52:33  -670845.851317  9616443.726374
BFGS:   32 22:52:33  -680358.736206  9713827.777554
BFGS:   33 22:52:34  -689570.568689  9807956.819788
BFGS:   34 22:52:34  -697899.029857  9892452.768100
BFGS:   35 22:52:34  -706390.946715  9979477.091174
BFGS:   36 22:52:34  -714089.664353 10061142.275511
