      Step     Time          Energy          fmax
BFGS:    0 18:20:00     -108.904209        7.260394
BFGS:    1 18:20:03     -109.844743        3.548663
BFGS:    2 18:20:06     -110.297801        1.542781
BFGS:    3 18:20:08     -110.443481        0.773648
BFGS:    4 18:20:10     -110.490877        0.635897
BFGS:    5 18:20:12     -110.506510        0.724740
BFGS:    6 18:20:14     -110.521139        0.702167
BFGS:    7 18:20:16     -110.547744        0.580852
BFGS:    8 18:20:18     -110.584495        0.368482
BFGS:    9 18:20:20     -110.615145        0.215075
BFGS:   10 18:20:22     -110.620159        0.180928
BFGS:   11 18:20:25     -110.621003        0.163451
BFGS:   12 18:20:27     -110.625014        0.168031
BFGS:   13 18:20:29     -110.631106        0.144917
BFGS:   14 18:20:31     -110.638035        0.123671
BFGS:   15 18:20:34     -110.640170        0.100686
BFGS:   16 18:20:37     -110.640408        0.101708
BFGS:   17 18:20:40     -110.641177        0.142397
BFGS:   18 18:20:43     -110.644014        0.183182
BFGS:   19 18:20:46     -110.650253        0.203595
BFGS:   20 18:20:48     -110.658163        0.172957
BFGS:   21 18:20:51     -110.662960        0.116874
BFGS:   22 18:20:53     -110.664655        0.119111
BFGS:   23 18:20:55     -110.665834        0.133139
BFGS:   24 18:20:57     -110.667866        0.130632
BFGS:   25 18:20:59     -110.670505        0.136333
BFGS:   26 18:21:02     -110.670879        0.119586
BFGS:   27 18:21:05     -110.670008        0.091114
BFGS:   28 18:21:07     -110.670337        0.091179
BFGS:   29 18:21:09     -110.671270        0.094133
BFGS:   30 18:21:11     -110.672819        0.087137
BFGS:   31 18:21:14     -110.674547        0.098176
BFGS:   32 18:21:16     -110.675469        0.115263
BFGS:   33 18:21:18     -110.675678        0.120252
BFGS:   34 18:21:20     -110.676260        0.104919
BFGS:   35 18:21:22     -110.677281        0.107353
BFGS:   36 18:21:25     -110.679174        0.094409
BFGS:   37 18:21:27     -110.680593        0.120664
BFGS:   38 18:21:29     -110.678677        0.124695
BFGS:   39 18:21:31     -110.674786        0.134400
BFGS:   40 18:21:33     -110.672747        0.159207
BFGS:   41 18:21:35     -110.671501        0.176158
BFGS:   42 18:21:38     -110.671496        0.182482
BFGS:   43 18:21:40     -110.674172        0.164872
BFGS:   44 18:21:42     -110.678245        0.158268
BFGS:   45 18:21:44     -110.679599        0.119764
BFGS:   46 18:21:46     -110.679688        0.127121
BFGS:   47 18:21:48     -110.680419        0.134172
BFGS:   48 18:21:50     -110.682441        0.127431
BFGS:   49 18:21:52     -110.685153        0.100065
BFGS:   50 18:21:54     -110.686435        0.087008
BFGS:   51 18:21:56     -110.686584        0.086984
BFGS:   52 18:21:58     -110.686651        0.101798
BFGS:   53 18:22:00     -110.686655        0.109746
BFGS:   54 18:22:02     -110.686764        0.106802
BFGS:   55 18:22:05     -110.687155        0.083641
BFGS:   56 18:22:07     -110.687491        0.061720
BFGS:   57 18:22:09     -110.687650        0.056170
BFGS:   58 18:22:12     -110.687930        0.062514
BFGS:   59 18:22:14     -110.688641        0.063190
BFGS:   60 18:22:17     -110.689641        0.059570
BFGS:   61 18:22:22     -110.689918        0.050506
BFGS:   62 18:22:25     -110.689509        0.047169
