      Step     Time          Energy          fmax
BFGS:    0 04:17:33     -107.196702       11.796566
BFGS:    1 04:53:33     -109.333438        3.558381
BFGS:    2 05:23:09     -109.699373        1.842484
BFGS:    3 05:53:08     -109.874807        0.933916
BFGS:    4 06:22:47     -109.925827        0.656853
BFGS:    5 06:45:51     -109.949986        0.874396
BFGS:    6 07:07:12     -109.974649        0.815739
BFGS:    7 07:28:36     -110.019218        0.648906
BFGS:    8 07:54:16     -110.063221        0.483560
BFGS:    9 08:22:53     -110.106022        0.282630
BFGS:   10 08:44:16     -110.107321        0.215045
BFGS:   11 09:04:38     -110.107598        0.241145
BFGS:   12 09:25:53     -110.112568        0.238455
BFGS:   13 09:47:18     -110.121963        0.146978
BFGS:   14 10:11:18     -110.138491        0.200547
BFGS:   15 10:32:38     -110.141089        0.165676
BFGS:   16 10:54:10     -110.139157        0.299206
BFGS:   17 11:12:52     -110.140010        0.293689
BFGS:   18 11:42:42     -110.139874        0.444671
BFGS:   19 12:04:00     -110.160832        0.291092
