      Step     Time          Energy          fmax
BFGS:    0 03:16:51     -107.832687        9.527134
BFGS:    1 04:18:45     -109.335482        3.658195
BFGS:    2 05:14:56     -109.742736        1.740348
BFGS:    3 06:09:10     -109.897973        0.850485
BFGS:    4 07:00:05     -109.949122        0.709151
BFGS:    5 07:46:42     -109.971259        0.823889
BFGS:    6 08:29:32     -109.994991        0.844043
BFGS:    7 09:14:04     -110.033554        0.705266
BFGS:    8 10:05:36     -110.084962        0.490925
BFGS:    9 10:55:18     -110.125058        0.289071
BFGS:   10 11:46:09     -110.127932        0.221919
