      Step     Time          Energy          fmax
BFGS:    0 23:05:47     -110.613558        0.553775
BFGS:    1 23:05:47     -110.628890        0.529001
BFGS:    2 23:05:47     -110.766692        0.113041
BFGS:    3 23:05:48     -110.768686        0.107112
BFGS:    4 23:05:48     -110.793738        0.124208
BFGS:    5 23:05:48     -110.795106        0.117147
BFGS:    6 23:05:49     -110.827272        0.087064
BFGS:    7 23:05:49     -110.831952        0.108148
BFGS:    8 23:05:49     -110.833538        0.115975
BFGS:    9 23:05:49     -110.834634        0.112074
BFGS:   10 23:05:50     -110.836747        0.084594
BFGS:   11 23:05:50     -110.838323        0.060338
BFGS:   12 23:05:50     -110.839005        0.035284
BFGS:   13 23:05:51     -110.839159        0.031182
BFGS:   14 23:05:51     -110.839261        0.024744
BFGS:   15 23:05:51     -110.839462        0.017286
      Step     Time          Energy          fmax
BFGS:    0 23:07:17     -110.613558        0.553775
BFGS:    1 23:07:17     -110.628890        0.529001
BFGS:    2 23:07:17     -110.766692        0.113041
BFGS:    3 23:07:18     -110.768686        0.107112
BFGS:    4 23:07:18     -110.793738        0.124208
BFGS:    5 23:07:18     -110.795106        0.117147
BFGS:    6 23:07:19     -110.827272        0.087064
BFGS:    7 23:07:19     -110.831952        0.108148
BFGS:    8 23:07:19     -110.833538        0.115975
BFGS:    9 23:07:20     -110.834634        0.112074
BFGS:   10 23:07:20     -110.836747        0.084594
BFGS:   11 23:07:20     -110.838323        0.060338
BFGS:   12 23:07:21     -110.839005        0.035284
BFGS:   13 23:07:21     -110.839159        0.031182
BFGS:   14 23:07:21     -110.839261        0.024744
BFGS:   15 23:07:21     -110.839462        0.017286
      Step     Time          Energy          fmax
BFGS:    0 23:08:11     -110.613558        0.553775
BFGS:    1 23:08:11     -110.628890        0.529001
BFGS:    2 23:08:11     -110.766692        0.113041
BFGS:    3 23:08:12     -110.768686        0.107112
BFGS:    4 23:08:12     -110.793738        0.124208
BFGS:    5 23:08:12     -110.795106        0.117147
BFGS:    6 23:08:13     -110.827272        0.087064
BFGS:    7 23:08:13     -110.831952        0.108148
BFGS:    8 23:08:14     -110.833538        0.115975
BFGS:    9 23:08:14     -110.834634        0.112074
BFGS:   10 23:08:14     -110.836747        0.084594
BFGS:   11 23:08:15     -110.838323        0.060338
BFGS:   12 23:08:15     -110.839005        0.035284
BFGS:   13 23:08:16     -110.839159        0.031182
BFGS:   14 23:08:16     -110.839261        0.024744
BFGS:   15 23:08:17     -110.839462        0.017286
