      Step     Time          Energy          fmax
BFGS:    0 23:05:42     -110.711721        0.302925
BFGS:    1 23:05:42     -110.717962        0.293930
BFGS:    2 23:05:43     -110.784466        0.101339
BFGS:    3 23:05:43     -110.786148        0.091793
BFGS:    4 23:05:43     -110.803099        0.079016
BFGS:    5 23:05:44     -110.806657        0.104128
BFGS:    6 23:05:44     -110.808510        0.145167
BFGS:    7 23:05:44     -110.811465        0.179899
BFGS:    8 23:05:45     -110.818237        0.210321
BFGS:    9 23:05:45     -110.827976        0.189890
BFGS:   10 23:05:45     -110.835681        0.107268
BFGS:   11 23:05:46     -110.838414        0.036977
BFGS:   12 23:05:46     -110.838994        0.032661
BFGS:   13 23:05:46     -110.839190        0.028289
BFGS:   14 23:05:46     -110.839527        0.018069
      Step     Time          Energy          fmax
BFGS:    0 23:07:11     -110.711721        0.302925
BFGS:    1 23:07:12     -110.717962        0.293930
BFGS:    2 23:07:12     -110.784466        0.101339
BFGS:    3 23:07:13     -110.786148        0.091793
BFGS:    4 23:07:13     -110.803099        0.079016
BFGS:    5 23:07:13     -110.806657        0.104128
BFGS:    6 23:07:14     -110.808510        0.145167
BFGS:    7 23:07:14     -110.811465        0.179899
BFGS:    8 23:07:14     -110.818237        0.210321
BFGS:    9 23:07:15     -110.827976        0.189890
BFGS:   10 23:07:15     -110.835681        0.107268
BFGS:   11 23:07:15     -110.838414        0.036977
BFGS:   12 23:07:16     -110.838994        0.032661
BFGS:   13 23:07:16     -110.839190        0.028289
BFGS:   14 23:07:17     -110.839527        0.018069
      Step     Time          Energy          fmax
BFGS:    0 23:08:06     -110.711721        0.302925
BFGS:    1 23:08:06     -110.717962        0.293930
BFGS:    2 23:08:07     -110.784466        0.101339
BFGS:    3 23:08:07     -110.786148        0.091793
BFGS:    4 23:08:07     -110.803099        0.079016
BFGS:    5 23:08:08     -110.806657        0.104128
BFGS:    6 23:08:08     -110.808510        0.145167
BFGS:    7 23:08:08     -110.811465        0.179899
BFGS:    8 23:08:09     -110.818237        0.210321
BFGS:    9 23:08:09     -110.827976        0.189890
BFGS:   10 23:08:09     -110.835681        0.107268
BFGS:   11 23:08:10     -110.838414        0.036977
BFGS:   12 23:08:10     -110.838994        0.032661
BFGS:   13 23:08:10     -110.839190        0.028289
BFGS:   14 23:08:10     -110.839527        0.018069
