      Step     Time          Energy          fmax
BFGS:    0 23:08:21     -108.855226        7.412321
BFGS:    1 23:08:24     -109.830624        3.564238
BFGS:    2 23:08:27     -110.285600        1.563943
BFGS:    3 23:08:29     -110.435343        0.780460
BFGS:    4 23:08:32     -110.483867        0.634832
BFGS:    5 23:08:35     -110.499834        0.725003
BFGS:    6 23:08:37     -110.514545        0.702350
BFGS:    7 23:08:40     -110.541359        0.580464
BFGS:    8 23:08:42     -110.578587        0.366912
BFGS:    9 23:08:44     -110.609928        0.215292
BFGS:   10 23:08:46     -110.615276        0.183043
BFGS:   11 23:08:49     -110.616184        0.170752
BFGS:   12 23:08:51     -110.620474        0.177647
BFGS:   13 23:08:53     -110.627222        0.148843
BFGS:   14 23:08:56     -110.635101        0.125930
BFGS:   15 23:08:58     -110.637832        0.106229
BFGS:   16 23:09:01     -110.638291        0.105838
BFGS:   17 23:09:03     -110.639235        0.148106
BFGS:   18 23:09:06     -110.642359        0.189392
BFGS:   19 23:09:09     -110.648973        0.208749
BFGS:   20 23:09:11     -110.657202        0.175662
BFGS:   21 23:09:13     -110.662324        0.118484
BFGS:   22 23:09:17     -110.664182        0.113025
BFGS:   23 23:09:20     -110.665374        0.125852
BFGS:   24 23:09:22     -110.667427        0.123434
BFGS:   25 23:09:25     -110.669988        0.132476
BFGS:   26 23:09:28     -110.670358        0.116347
BFGS:   27 23:09:31     -110.669507        0.085334
BFGS:   28 23:09:33     -110.669788        0.085797
BFGS:   29 23:09:35     -110.670675        0.088664
BFGS:   30 23:09:38     -110.672230        0.081872
BFGS:   31 23:09:40     -110.674093        0.099720
BFGS:   32 23:09:43     -110.675261        0.115754
BFGS:   33 23:09:45     -110.675632        0.120383
BFGS:   34 23:09:48     -110.676213        0.105703
BFGS:   35 23:09:50     -110.677197        0.101983
BFGS:   36 23:09:53     -110.678967        0.095785
BFGS:   37 23:09:55     -110.680144        0.120613
BFGS:   38 23:09:57     -110.677917        0.121229
BFGS:   39 23:10:00     -110.673914        0.133894
BFGS:   40 23:10:03     -110.671902        0.158076
BFGS:   41 23:10:05     -110.670703        0.174644
BFGS:   42 23:10:07     -110.670685        0.180753
BFGS:   43 23:10:10     -110.673138        0.163770
BFGS:   44 23:10:12     -110.676806        0.158146
BFGS:   45 23:10:15     -110.677899        0.120600
BFGS:   46 23:10:18     -110.677945        0.133129
BFGS:   47 23:10:20     -110.678739        0.139683
BFGS:   48 23:10:22     -110.680909        0.132621
BFGS:   49 23:10:25     -110.683778        0.104729
BFGS:   50 23:10:27     -110.685128        0.086959
BFGS:   51 23:10:30     -110.685320        0.092247
BFGS:   52 23:10:32     -110.685449        0.106763
BFGS:   53 23:10:35     -110.685483        0.114032
BFGS:   54 23:10:37     -110.685609        0.110582
BFGS:   55 23:10:39     -110.686033        0.087783
BFGS:   56 23:10:42     -110.686423        0.060831
BFGS:   57 23:10:45     -110.686577        0.056782
BFGS:   58 23:10:48     -110.686838        0.063255
BFGS:   59 23:10:51     -110.687498        0.063243
BFGS:   60 23:10:53     -110.688435        0.059274
BFGS:   61 23:10:56     -110.688631        0.050231
BFGS:   62 23:10:58     -110.688169        0.044024
