      Step     Time          Energy          fmax
BFGS:    0 23:11:35     -114.155463        0.588746
BFGS:    1 23:11:36     -114.174835        0.565215
BFGS:    2 23:11:36     -114.395958        0.180735
BFGS:    3 23:11:36     -114.398319        0.179810
BFGS:    4 23:11:36     -114.429786        0.188763
BFGS:    5 23:11:37     -114.439741        0.186707
BFGS:    6 23:11:37     -114.444521        0.219414
BFGS:    7 23:11:37     -114.450211        0.273190
BFGS:    8 23:11:38     -114.464703        0.329796
BFGS:    9 23:11:38     -114.487923        0.318229
BFGS:   10 23:11:38     -114.511665        0.233542
BFGS:   11 23:11:39     -114.524133        0.158271
BFGS:   12 23:11:39     -114.528702        0.111331
BFGS:   13 23:11:39     -114.530686        0.098741
BFGS:   14 23:11:40     -114.535061        0.092186
BFGS:   15 23:11:40     -114.541396        0.106100
BFGS:   16 23:11:40     -114.547536        0.132537
BFGS:   17 23:11:41     -114.550433        0.124109
BFGS:   18 23:11:41     -114.551847        0.103651
BFGS:   19 23:11:41     -114.553685        0.090603
BFGS:   20 23:11:42     -114.557081        0.077441
BFGS:   21 23:11:42     -114.562713        0.095536
BFGS:   22 23:11:42     -114.568918        0.128314
BFGS:   23 23:11:42     -114.572728        0.105267
BFGS:   24 23:11:43     -114.574150        0.094540
BFGS:   25 23:11:43     -114.575494        0.078900
BFGS:   26 23:11:44     -114.578200        0.064441
BFGS:   27 23:11:44     -114.581799        0.064764
BFGS:   28 23:11:44     -114.584628        0.068252
BFGS:   29 23:11:45     -114.585845        0.058437
BFGS:   30 23:11:45     -114.586461        0.056874
BFGS:   31 23:11:45     -114.587233        0.051636
BFGS:   32 23:11:46     -114.589017        0.051361
BFGS:   33 23:11:46     -114.592228        0.080306
BFGS:   34 23:11:46     -114.596111        0.075775
BFGS:   35 23:11:46     -114.598511        0.097456
BFGS:   36 23:11:47     -114.599702        0.095881
BFGS:   37 23:11:47     -114.600821        0.084280
BFGS:   38 23:11:47     -114.602855        0.082124
BFGS:   39 23:11:48     -114.606273        0.096240
BFGS:   40 23:11:48     -114.610138        0.076143
BFGS:   41 23:11:48     -114.612686        0.063503
BFGS:   42 23:11:49     -114.613763        0.061589
BFGS:   43 23:11:49     -114.614624        0.061801
BFGS:   44 23:11:50     -114.616734        0.084024
BFGS:   45 23:11:50     -114.621372        0.121354
BFGS:   46 23:11:50     -114.629267        0.132794
BFGS:   47 23:11:51     -114.636093        0.095967
BFGS:   48 23:11:51     -114.640137        0.088306
BFGS:   49 23:11:51     -114.642138        0.072802
BFGS:   50 23:11:52     -114.644258        0.075396
BFGS:   51 23:11:52     -114.649363        0.096854
BFGS:   52 23:11:53     -114.656752        0.099006
BFGS:   53 23:11:53     -114.664084        0.101296
BFGS:   54 23:11:54     -114.668264        0.112498
BFGS:   55 23:11:54     -114.670379        0.121715
BFGS:   56 23:11:55     -114.672781        0.098090
BFGS:   57 23:11:55     -114.677304        0.106326
BFGS:   58 23:11:56     -114.689747        0.086614
BFGS:   59 23:11:56     -114.695219        0.080967
BFGS:   60 23:11:56     -114.697972        0.078593
BFGS:   61 23:11:56     -114.699462        0.082347
BFGS:   62 23:11:57     -114.703115        0.081110
BFGS:   63 23:11:57     -114.709073        0.083324
BFGS:   64 23:11:57     -114.716460        0.094815
BFGS:   65 23:11:58     -114.721076        0.120093
BFGS:   66 23:11:58     -114.723024        0.123962
BFGS:   67 23:11:58     -114.724701        0.119487
BFGS:   68 23:11:59     -114.727975        0.103626
BFGS:   69 23:11:59     -114.734041        0.084096
BFGS:   70 23:11:59     -114.743395        0.093794
BFGS:   71 23:12:00     -114.751849        0.068876
BFGS:   72 23:12:00     -114.755609        0.077872
BFGS:   73 23:12:00     -114.756869        0.075686
BFGS:   74 23:12:01     -114.757964        0.067483
BFGS:   75 23:12:01     -114.761365        0.052129
BFGS:   76 23:12:01     -114.765954        0.054569
BFGS:   77 23:12:02     -114.769892        0.053885
BFGS:   78 23:12:02     -114.771340        0.062328
BFGS:   79 23:12:02     -114.771863        0.054551
BFGS:   80 23:12:03     -114.772429        0.044267
BFGS:   81 23:12:03     -114.773838        0.042642
BFGS:   82 23:12:03     -114.776399        0.052080
BFGS:   83 23:12:04     -114.779823        0.055707
BFGS:   84 23:12:04     -114.782252        0.057090
BFGS:   85 23:12:04     -114.783213        0.043823
BFGS:   86 23:12:05     -114.783671        0.035378
BFGS:   87 23:12:05     -114.784378        0.034315
BFGS:   88 23:12:06     -114.785660        0.031690
BFGS:   89 23:12:06     -114.787237        0.029336
BFGS:   90 23:12:06     -114.788246        0.031544
BFGS:   91 23:12:07     -114.788587        0.029460
BFGS:   92 23:12:07     -114.788762        0.028841
BFGS:   93 23:12:07     -114.789076        0.026662
BFGS:   94 23:12:08     -114.789698        0.023555
BFGS:   95 23:12:08     -114.790654        0.029269
BFGS:   96 23:12:08     -114.791517        0.031479
BFGS:   97 23:12:09     -114.791930        0.029539
BFGS:   98 23:12:09     -114.792114        0.027729
BFGS:   99 23:12:09     -114.792339        0.026278
BFGS:  100 23:12:10     -114.792788        0.025469
BFGS:  101 23:12:10     -114.793453        0.023996
BFGS:  102 23:12:10     -114.794033        0.025085
BFGS:  103 23:12:11     -114.794268        0.019290
