      Step     Time          Energy          fmax
BFGS:    0 23:10:58     -113.846324        0.519677
BFGS:    1 23:10:59     -113.868658        0.494285
BFGS:    2 23:10:59     -114.114985        0.118469
BFGS:    3 23:10:59     -114.117405        0.117683
BFGS:    4 23:11:00     -114.151308        0.134570
BFGS:    5 23:11:00     -114.164833        0.162489
BFGS:    6 23:11:00     -114.173565        0.172055
BFGS:    7 23:11:00     -114.178848        0.192110
BFGS:    8 23:11:01     -114.191683        0.199564
BFGS:    9 23:11:01     -114.208667        0.161201
BFGS:   10 23:11:02     -114.223558        0.099557
BFGS:   11 23:11:02     -114.228722        0.063184
BFGS:   12 23:11:02     -114.229777        0.049788
BFGS:   13 23:11:02     -114.230341        0.042556
BFGS:   14 23:11:03     -114.231636        0.047209
BFGS:   15 23:11:03     -114.233419        0.045774
BFGS:   16 23:11:04     -114.235112        0.042180
BFGS:   17 23:11:04     -114.235974        0.052508
BFGS:   18 23:11:04     -114.236456        0.049704
BFGS:   19 23:11:05     -114.237142        0.040575
BFGS:   20 23:11:05     -114.238429        0.037587
BFGS:   21 23:11:05     -114.240178        0.032767
BFGS:   22 23:11:06     -114.241545        0.031239
BFGS:   23 23:11:06     -114.242077        0.033898
BFGS:   24 23:11:06     -114.242294        0.031768
BFGS:   25 23:11:07     -114.242630        0.031023
BFGS:   26 23:11:07     -114.243332        0.037712
BFGS:   27 23:11:07     -114.244484        0.040199
BFGS:   28 23:11:08     -114.245704        0.035492
BFGS:   29 23:11:08     -114.246417        0.037141
BFGS:   30 23:11:08     -114.246760        0.034842
BFGS:   31 23:11:09     -114.247163        0.030352
BFGS:   32 23:11:09     -114.248057        0.033159
BFGS:   33 23:11:09     -114.249771        0.034966
BFGS:   34 23:11:10     -114.252117        0.035177
BFGS:   35 23:11:10     -114.253819        0.027092
BFGS:   36 23:11:10     -114.254468        0.025732
BFGS:   37 23:11:10     -114.254668        0.027750
BFGS:   38 23:11:11     -114.254907        0.028197
BFGS:   39 23:11:11     -114.255518        0.026728
BFGS:   40 23:11:11     -114.256624        0.026454
BFGS:   41 23:11:12     -114.258117        0.036275
BFGS:   42 23:11:12     -114.259193        0.042913
BFGS:   43 23:11:12     -114.259764        0.039973
BFGS:   44 23:11:13     -114.260265        0.041330
BFGS:   45 23:11:13     -114.261144        0.039839
BFGS:   46 23:11:13     -114.262738        0.029703
BFGS:   47 23:11:14     -114.264700        0.036001
BFGS:   48 23:11:14     -114.265986        0.038147
BFGS:   49 23:11:14     -114.266405        0.036386
BFGS:   50 23:11:15     -114.266596        0.034870
BFGS:   51 23:11:15     -114.266985        0.032473
BFGS:   52 23:11:15     -114.267870        0.028536
BFGS:   53 23:11:16     -114.269744        0.033033
BFGS:   54 23:11:16     -114.272645        0.049868
BFGS:   55 23:11:17     -114.275242        0.056807
BFGS:   56 23:11:17     -114.276784        0.062467
BFGS:   57 23:11:17     -114.277747        0.062115
BFGS:   58 23:11:18     -114.278925        0.058960
BFGS:   59 23:11:18     -114.281479        0.051854
BFGS:   60 23:11:18     -114.285330        0.049439
BFGS:   61 23:11:18     -114.288863        0.060191
BFGS:   62 23:11:19     -114.290518        0.049343
BFGS:   63 23:11:19     -114.291307        0.047129
BFGS:   64 23:11:19     -114.292674        0.048944
BFGS:   65 23:11:20     -114.296403        0.052412
BFGS:   66 23:11:20     -114.303620        0.064372
BFGS:   67 23:11:20     -114.314280        0.102253
BFGS:   68 23:11:21     -114.323121        0.133387
BFGS:   69 23:11:21     -114.328603        0.157620
BFGS:   70 23:11:21     -114.332093        0.159908
BFGS:   71 23:11:22     -114.337125        0.149643
BFGS:   72 23:11:22     -114.347659        0.121545
BFGS:   73 23:11:22     -114.361113        0.091977
BFGS:   74 23:11:22     -114.372920        0.081138
BFGS:   75 23:11:23     -114.379419        0.067366
BFGS:   76 23:11:23     -114.380618        0.066967
BFGS:   77 23:11:23     -114.383945        0.066308
BFGS:   78 23:11:24     -114.390710        0.071551
BFGS:   79 23:11:24     -114.403628        0.093440
BFGS:   80 23:11:24     -114.419107        0.122991
BFGS:   81 23:11:25     -114.430954        0.114280
BFGS:   82 23:11:25     -114.436549        0.111399
