      Step     Time          Energy          fmax
BFGS:    0 23:14:23     -110.585282        0.537441
BFGS:    1 23:14:23     -110.603697        0.514865
BFGS:    2 23:14:24     -110.807082        0.191227
BFGS:    3 23:14:24     -110.809377        0.189362
BFGS:    4 23:14:25     -110.850540        0.192285
BFGS:    5 23:14:25     -110.852495        0.172050
BFGS:    6 23:14:25     -110.876282        0.102395
BFGS:    7 23:14:26     -110.889693        0.087943
BFGS:    8 23:14:26     -110.895626        0.105874
BFGS:    9 23:14:26     -110.897600        0.096084
BFGS:   10 23:14:26     -110.899170        0.090026
BFGS:   11 23:14:27     -110.901658        0.074110
BFGS:   12 23:14:27     -110.905390        0.065212
BFGS:   13 23:14:27     -110.908733        0.081118
BFGS:   14 23:14:28     -110.910307        0.084279
BFGS:   15 23:14:28     -110.911084        0.074247
BFGS:   16 23:14:28     -110.912347        0.081784
BFGS:   17 23:14:29     -110.914823        0.082309
BFGS:   18 23:14:29     -110.918646        0.098227
BFGS:   19 23:14:29     -110.922114        0.088232
BFGS:   20 23:14:29     -110.923889        0.069352
BFGS:   21 23:14:30     -110.924659        0.050684
BFGS:   22 23:14:30     -110.925304        0.054357
BFGS:   23 23:14:30     -110.926678        0.050782
BFGS:   24 23:14:31     -110.928770        0.062142
BFGS:   25 23:14:31     -110.930806        0.061740
BFGS:   26 23:14:31     -110.931716        0.046755
BFGS:   27 23:14:32     -110.932121        0.034189
BFGS:   28 23:14:32     -110.932705        0.037726
BFGS:   29 23:14:32     -110.933837        0.038510
BFGS:   30 23:14:33     -110.935539        0.048017
BFGS:   31 23:14:33     -110.937037        0.044811
BFGS:   32 23:14:33     -110.937733        0.027590
BFGS:   33 23:14:34     -110.937949        0.023404
BFGS:   34 23:14:34     -110.938111        0.020573
BFGS:   35 23:14:34     -110.938508        0.027648
BFGS:   36 23:14:35     -110.939168        0.034608
BFGS:   37 23:14:35     -110.939956        0.029924
BFGS:   38 23:14:35     -110.940420        0.024748
BFGS:   39 23:14:36     -110.940615        0.022875
BFGS:   40 23:14:36     -110.940788        0.021441
BFGS:   41 23:14:36     -110.941128        0.027376
BFGS:   42 23:14:36     -110.941724        0.038859
BFGS:   43 23:14:37     -110.942461        0.038486
BFGS:   44 23:14:37     -110.942944        0.022078
BFGS:   45 23:14:37     -110.943099        0.016848
