      Step     Time          Energy          fmax
BFGS:    0 16:45:08     -110.664643        0.337998
BFGS:    1 16:45:08     -110.671480        0.328762
BFGS:    2 16:45:09     -110.749729        0.112750
BFGS:    3 16:45:09     -110.751705        0.097543
BFGS:    4 16:45:09     -110.761465        0.088504
BFGS:    5 16:45:10     -110.769069        0.081335
BFGS:    6 16:45:10     -110.773256        0.106019
BFGS:    7 16:45:11     -110.775026        0.141312
BFGS:    8 16:45:11     -110.778354        0.176655
BFGS:    9 16:45:11     -110.784530        0.197988
BFGS:   10 16:45:11     -110.794318        0.175435
BFGS:   11 16:45:12     -110.802397        0.100428
BFGS:   12 16:45:12     -110.805592        0.036205
BFGS:   13 16:45:13     -110.806247        0.032771
BFGS:   14 16:45:13     -110.806444        0.028289
BFGS:   15 16:45:13     -110.806766        0.018480
