      Step     Time          Energy          fmax
BFGS:    0 16:45:24     -108.907031        7.101259
BFGS:    1 16:45:30     -109.816369        3.530769
BFGS:    2 16:45:35     -110.273250        1.515955
BFGS:    3 16:45:37     -110.417012        0.763889
BFGS:    4 16:45:39     -110.463402        0.623198
BFGS:    5 16:45:43     -110.477910        0.711603
BFGS:    6 16:45:45     -110.491658        0.691169
BFGS:    7 16:45:47     -110.517372        0.574259
BFGS:    8 16:45:50     -110.553760        0.366050
BFGS:    9 16:45:52     -110.584614        0.227335
BFGS:   10 16:45:54     -110.589597        0.183510
BFGS:   11 16:45:56     -110.590416        0.169035
BFGS:   12 16:45:58     -110.594750        0.178231
BFGS:   13 16:46:01     -110.601661        0.151701
BFGS:   14 16:46:04     -110.609733        0.129509
BFGS:   15 16:46:06     -110.612435        0.109832
BFGS:   16 16:46:08     -110.612859        0.105867
BFGS:   17 16:46:10     -110.613800        0.147752
BFGS:   18 16:46:12     -110.616983        0.188257
BFGS:   19 16:46:14     -110.623862        0.207724
BFGS:   20 16:46:17     -110.632563        0.175646
BFGS:   21 16:46:19     -110.637876        0.121697
BFGS:   22 16:46:21     -110.639641        0.116297
BFGS:   23 16:46:23     -110.640810        0.129117
BFGS:   24 16:46:25     -110.642866        0.125191
BFGS:   25 16:46:28     -110.645597        0.128950
BFGS:   26 16:46:30     -110.646200        0.114672
BFGS:   27 16:46:33     -110.645309        0.091202
BFGS:   28 16:46:35     -110.645524        0.094114
BFGS:   29 16:46:37     -110.646375        0.096724
BFGS:   30 16:46:39     -110.647936        0.088332
BFGS:   31 16:46:42     -110.649964        0.094599
BFGS:   32 16:46:44     -110.651364        0.111215
BFGS:   33 16:46:46     -110.651710        0.119726
BFGS:   34 16:46:48     -110.652155        0.104919
BFGS:   35 16:46:50     -110.653097        0.106708
BFGS:   36 16:46:53     -110.654947        0.098369
BFGS:   37 16:46:56     -110.656635        0.127061
BFGS:   38 16:46:59     -110.655439        0.138246
BFGS:   39 16:47:05     -110.651713        0.134956
BFGS:   40 16:47:09     -110.649746        0.155235
BFGS:   41 16:47:11     -110.648475        0.168153
BFGS:   42 16:47:14     -110.648580        0.169162
BFGS:   43 16:47:18     -110.651513        0.151239
BFGS:   44 16:47:21     -110.655434        0.146253
BFGS:   45 16:47:24     -110.656181        0.112264
BFGS:   46 16:47:26     -110.655955        0.125878
BFGS:   47 16:47:28     -110.656599        0.131868
BFGS:   48 16:47:31     -110.658635        0.124794
BFGS:   49 16:47:33     -110.661526        0.103078
BFGS:   50 16:47:35     -110.662827        0.087252
BFGS:   51 16:47:37     -110.662688        0.087111
BFGS:   52 16:47:39     -110.662614        0.102858
BFGS:   53 16:47:43     -110.662574        0.112792
BFGS:   54 16:47:46     -110.662644        0.111915
BFGS:   55 16:47:50     -110.662993        0.091837
BFGS:   56 16:47:53     -110.663313        0.066047
BFGS:   57 16:47:55     -110.663485        0.058707
BFGS:   58 16:47:57     -110.663755        0.060010
BFGS:   59 16:47:59     -110.664443        0.059217
BFGS:   60 16:48:02     -110.665424        0.058117
BFGS:   61 16:48:04     -110.665702        0.049373
