      Step     Time          Energy          fmax
BFGS:    0 16:48:10     -110.535166        0.604699
BFGS:    1 16:48:10     -110.552118        0.579405
BFGS:    2 16:48:10     -110.718314        0.103363
BFGS:    3 16:48:11     -110.720343        0.102280
BFGS:    4 16:48:11     -110.736430        0.117760
BFGS:    5 16:48:11     -110.742797        0.145042
BFGS:    6 16:48:12     -110.746302        0.134311
BFGS:    7 16:48:12     -110.748735        0.116967
BFGS:    8 16:48:12     -110.754929        0.122142
BFGS:    9 16:48:12     -110.765163        0.126525
BFGS:   10 16:48:13     -110.778043        0.096039
BFGS:   11 16:48:13     -110.785821        0.055411
BFGS:   12 16:48:13     -110.787951        0.042660
BFGS:   13 16:48:14     -110.788393        0.036967
BFGS:   14 16:48:14     -110.788807        0.031078
BFGS:   15 16:48:14     -110.789459        0.025235
BFGS:   16 16:48:14     -110.789990        0.017439
