      Step     Time          Energy          fmax
BFGS:    0 11:21:56     -110.465444        0.620735
BFGS:    1 11:21:57     -110.482973        0.595696
BFGS:    2 11:21:57     -110.662575        0.105158
BFGS:    3 11:21:57     -110.664831        0.107593
BFGS:    4 11:21:57     -110.674388        0.087613
BFGS:    5 11:21:58     -110.683089        0.136877
BFGS:    6 11:21:58     -110.689418        0.152223
BFGS:    7 11:21:58     -110.692151        0.131220
BFGS:    8 11:21:59     -110.695224        0.105918
BFGS:    9 11:21:59     -110.701318        0.120340
BFGS:   10 11:21:59     -110.711991        0.115081
BFGS:   11 11:21:59     -110.724289        0.081135
BFGS:   12 11:22:00     -110.731423        0.047253
BFGS:   13 11:22:00     -110.733262        0.045034
BFGS:   14 11:22:00     -110.733672        0.038367
BFGS:   15 11:22:01     -110.734111        0.031378
BFGS:   16 11:22:01     -110.734801        0.031045
BFGS:   17 11:22:01     -110.735388        0.017511
