      Step     Time          Energy          fmax
BFGS:    0 11:21:51     -110.517987        0.396831
BFGS:    1 11:21:51     -110.525972        0.387744
BFGS:    2 11:21:52     -110.630443        0.135970
BFGS:    3 11:21:52     -110.633677        0.106044
BFGS:    4 11:21:52     -110.637413        0.093887
BFGS:    5 11:21:53     -110.648366        0.089571
BFGS:    6 11:21:53     -110.654588        0.082142
BFGS:    7 11:21:53     -110.657508        0.114839
BFGS:    8 11:21:54     -110.659332        0.144860
BFGS:    9 11:21:54     -110.664143        0.184596
BFGS:   10 11:21:54     -110.672198        0.199393
BFGS:   11 11:21:54     -110.683021        0.155332
BFGS:   12 11:21:55     -110.689557        0.073681
BFGS:   13 11:21:55     -110.691553        0.038245
BFGS:   14 11:21:55     -110.691952        0.033415
BFGS:   15 11:21:56     -110.692199        0.027374
BFGS:   16 11:21:56     -110.692635        0.014424
