      Step     Time          Energy          fmax
BFGS:    0 11:22:05     -108.907115        6.689153
BFGS:    1 11:22:07     -109.732901        3.468498
BFGS:    2 11:22:10     -110.191833        1.447126
BFGS:    3 11:22:12     -110.328738        0.741461
BFGS:    4 11:22:14     -110.372481        0.596315
BFGS:    5 11:22:16     -110.384742        0.683033
BFGS:    6 11:22:18     -110.396611        0.667650
BFGS:    7 11:22:20     -110.419943        0.562415
BFGS:    8 11:22:23     -110.454480        0.366952
BFGS:    9 11:22:25     -110.484601        0.237471
BFGS:   10 11:22:27     -110.489127        0.184239
BFGS:   11 11:22:30     -110.489863        0.160222
BFGS:   12 11:22:32     -110.494471        0.185228
BFGS:   13 11:22:34     -110.501865        0.159382
BFGS:   14 11:22:36     -110.510506        0.136533
BFGS:   15 11:22:38     -110.513268        0.120800
BFGS:   16 11:22:41     -110.513756        0.105948
BFGS:   17 11:22:44     -110.514805        0.147534
BFGS:   18 11:22:47     -110.518191        0.186537
BFGS:   19 11:22:51     -110.525576        0.206418
BFGS:   20 11:22:54     -110.535105        0.179652
BFGS:   21 11:22:57     -110.540951        0.136113
BFGS:   22 11:22:59     -110.542794        0.118605
BFGS:   23 11:23:03     -110.543998        0.132277
BFGS:   24 11:23:06     -110.546118        0.127513
BFGS:   25 11:23:09     -110.549154        0.123358
BFGS:   26 11:23:12     -110.550211        0.110284
BFGS:   27 11:23:15     -110.549511        0.087746
BFGS:   28 11:23:18     -110.549712        0.106641
BFGS:   29 11:23:21     -110.550505        0.109377
BFGS:   30 11:23:24     -110.552048        0.099556
BFGS:   31 11:23:27     -110.554224        0.094331
BFGS:   32 11:23:29     -110.555952        0.113330
BFGS:   33 11:23:31     -110.556501        0.127900
BFGS:   34 11:23:35     -110.556876        0.120384
BFGS:   35 11:23:37     -110.557692        0.123426
BFGS:   36 11:23:39     -110.559514        0.131270
BFGS:   37 11:23:41     -110.561658        0.175477
BFGS:   38 11:23:43     -110.561163        0.180064
BFGS:   39 11:23:46     -110.558049        0.147150
BFGS:   40 11:23:48     -110.556435        0.163105
BFGS:   41 11:23:50     -110.556019        0.167296
BFGS:   42 11:23:53     -110.557280        0.157297
BFGS:   43 11:23:55     -110.561165        0.128087
BFGS:   44 11:23:57     -110.564775        0.119203
BFGS:   45 11:23:59     -110.565067        0.106861
BFGS:   46 11:24:02     -110.564820        0.125549
BFGS:   47 11:24:04     -110.565397        0.126135
BFGS:   48 11:24:06     -110.567261        0.107889
BFGS:   49 11:24:09     -110.570107        0.090809
BFGS:   50 11:24:11     -110.571794        0.079517
BFGS:   51 11:24:13     -110.571988        0.083430
BFGS:   52 11:24:15     -110.572003        0.103976
BFGS:   53 11:24:17     -110.572017        0.118585
BFGS:   54 11:24:19     -110.572067        0.121515
BFGS:   55 11:24:21     -110.572358        0.095084
BFGS:   56 11:24:23     -110.572859        0.066984
BFGS:   57 11:24:26     -110.573231        0.061470
BFGS:   58 11:24:28     -110.573578        0.069059
BFGS:   59 11:24:30     -110.574253        0.074548
BFGS:   60 11:24:32     -110.575250        0.073806
BFGS:   61 11:24:34     -110.575811        0.073204
BFGS:   62 11:24:36     -110.575510        0.055569
BFGS:   63 11:24:38     -110.575398        0.068866
BFGS:   64 11:24:40     -110.575559        0.074581
BFGS:   65 11:24:42     -110.576017        0.071845
BFGS:   66 11:24:45     -110.576768        0.051969
BFGS:   67 11:24:47     -110.577402        0.057764
BFGS:   68 11:24:49     -110.577551        0.066512
BFGS:   69 11:24:51     -110.577624        0.062339
BFGS:   70 11:24:53     -110.577826        0.068462
BFGS:   71 11:24:56     -110.578433        0.074147
BFGS:   72 11:24:58     -110.579432        0.065255
BFGS:   73 11:25:00     -110.580227        0.059794
BFGS:   74 11:25:02     -110.580345        0.044899
