      Step     Time          Energy          fmax
BFGS:    0 00:07:02     -110.357898        0.090491
BFGS:    1 00:09:10     -110.358950        0.087797
BFGS:    2 00:16:01     -110.355876        0.330580
BFGS:    3 00:21:24     -110.400650        0.142799
BFGS:    4 00:23:32     -110.402597        0.148766
BFGS:    5 00:27:34     -110.418359        0.188483
BFGS:    6 00:32:31     -110.430528        0.235651
BFGS:    7 00:34:41     -110.431958        0.206498
BFGS:    8 00:40:32     -110.424205        0.147337
BFGS:    9 00:47:00     -110.438077        0.174894
BFGS:   10 00:49:54     -110.440758        0.150592
BFGS:   11 00:56:42     -110.399265        0.240586
BFGS:   12 01:03:46     -110.451117        0.068598
BFGS:   13 01:08:10     -110.453033        0.066479
BFGS:   14 01:12:03     -110.454010        0.045431
BFGS:   15 01:14:07     -110.454246        0.047961
BFGS:   16 01:18:10     -110.454428        0.041236
BFGS:   17 01:20:16     -110.454916        0.031196
BFGS:   18 01:24:18     -110.451457        0.075577
BFGS:   19 01:28:20     -110.455352        0.030397
BFGS:   20 01:30:27     -110.455573        0.030370
BFGS:   21 01:36:10     -110.451052        0.040733
BFGS:   22 01:40:11     -110.455875        0.026656
BFGS:   23 01:42:22     -110.456049        0.026299
BFGS:   24 01:44:03     -110.456128        0.018296
